timestamp,bsci_mean,bsci_max,bsci_min,alert_count,watch_count,cipher_avg,graviton_avg,accretor_avg,wavefunction_avg,attractor_avg,darkmatter_avg,entangle_avg,decoherence_avg,hawking_avg,predator_avg
2026-04-28 04:59:38,0.1270,0.2280,0.0170,3,97,0.1093,0.1643,0.0000,0.0795,0.0000,0.0298,0.0000,0.0000,0.0000,0.0000
2026-04-28 05:01:47,0.1271,0.2250,0.0290,1,99,0.1034,0.1854,0.0000,0.0808,0.0000,0.0286,0.0000,0.0000,0.0000,0.0000
2026-04-28 05:02:13,0.1259,0.2270,0.0290,1,99,0.1034,0.1854,0.0000,0.0742,0.0011,0.0285,0.0000,0.0000,0.0000,0.0000
2026-04-28 08:06:14,0.1260,0.2260,0.0290,1,99,0.1034,0.2015,0.0000,0.0712,0.0054,0.0281,0.0000,0.0000,0.0000,0.0000
